Артикул категории,Категория,Подкатегория,Артикул товара,Название,Артикул параметра,Вес,Ед.Изм.,Цена,Старая цена,Валюта,Белки,Жиры,Углеводы,Энерг. ценность,Артикул группы мод.,группа модификаторов,min модификаторов,max модификаторов,Артикул модификаторов,модификаторы,цена модификатора,Описание,Изображение
10000,Салаты,,10001,Цезарь,110010,100,г,100,120,р,11,24,34,237,1000,Салат с,1,1,1001,креветками,0,"Салат Цезарь — для любителей лёгких и вкусных блюд. Он выделяется гармоничным сочетанием хрустящих сухариков, сочных помидоров черри и аппетитного соуса на листьях салата. Попробуйте и оцените неповторимый вкус!",https://example/img.jpg
,,,,,,,,,,,,,,,,,,,1002,курицей,0,,
,,,,,,,,,,,,,,,,,,,1003,фалафелем,0,,
20000,Горячие закуски,,20001,Наггетсы,210010,120,г,260,312,р,15,14,44,349,2000,Соус,,3,2001,Соус сладкий чили,40,Горячая закуска с хрустящей корочкой. Внутри — сочная курица. Наггетсы отлично подойдут для перекуса или в качестве дополнения к основному блюду,https://example/img.jpg
,,,,,,,,,,,,,,,,,,,2002,Соус Цезарь,40,,
,,,,,,,,,,,,,,,,,,,2003,Соус барбекю,40,,
,,,,,,,,,,,,,,,3000,Что-нибудь еще?,,,3001,Лук фри,40,,
,,,,,,,,,,,,,,,,,,,3002,Огурец маринованный,40,,
,,,,,,,,,,,,,,,,,,,3003,Лук маринованный ,40,,
,,,,,210011,80,г,180,216,р,43,21,27,484,4000,Соус,,2,4001,Соус сладкий чили,40,,
,,,,,,,,,,,,,,,,,,,4002,Соус Цезарь,40,,
,,,,,,,,,,,,,,,,,,,4003,Соус барбекю,40,,
,,,,,210012,40,г,100,120,р,12,31,24,389,5000,Соус,,1,5001,Соус сладкий чили,40,,
,,,,,,,,,,,,,,,,,,,5002,Соус Цезарь,40,,
,,,,,,,,,,,,,,,,,,,5003,Соус барбекю,40,,
,,,20002,Сырные палочки M (3 шт.),210020,120,г,150,180,р,8,31,9,398,,,,,,,,Погрузитесь в мир горячих закусок с аппетитными сырными палочками M — хрустящая корочка и тягучий сыр внутри буквально растопят ваше сердце! Эта закуска станет идеальным началом трапезы или отличным дополнением к пиву и другим напиткам. Попробуйте сырные палочки M и ощутите неповторимый вкус,https://example/img.jpg
,,,20003,Луковые кольца M (3 шт.),210030,33,г,100,120,р,5,41,11,184,,,,,,,,"Погрузитесь в мир хрустящих гастрономических удовольствий с нашей горячей закуской! Золотистые луковые кольца M — это аппетитная закуска, которая порадует вас своей хрустящей текстурой и насыщенным вкусом. Идеальный выбор для тех, кто ищет пикантное дополнение к основному блюду (3 шт.)",https://example/img.jpg
,,,20004,Сырные палочки XL ( 9 шт.),210040,180,г,450,540,р,35,26,30,168,,,,,,,,"Горячие закуски — отличный способ разнообразить перекус, и сырные палочки XL станут прекрасным выбором! Хрустящая корочка и тягучий сырный центр — эти крупные сырные палочки покорят вас с первого укуса. Попробуйте и убедитесь, насколько аппетитными могут быть простые сырные палочки",https://example/img.jpg
,,,20005,Сырные палочки L (6 шт.),210050,180,г,300,360,р,9,38,42,166,,,,,,,,"Погрузитесь в мир горячих закусок с аппетитным блюдом, которое растопит ваше сердце! Хрустящая корочка и тягучий сырный центр — эти горячие закуски станут идеальным началом вашего гастрономического путешествия. Попробуйте сырные палочки L и ощутите взрыв вкуса",https://example/img.jpg
,,,20006,Луковые кольца XL (9 шт.),210060,100,г,270,324,р,43,16,33,300,,,,,,,,"Аппетитные и хрустящие, эти луковые кольца станут идеальным дополнением к вашему столу и порадуют любителей пикантных закусок (9 шт.)",https://example/img.jpg
,,,20007,Луковые кольца L (6 шт.),210070,66,г,200,240,р,48,22,10,189,,,,,,,,"Горячие закуски — отличный выбор для компании, и луковые кольца L станут настоящей находкой: хрустящая корочка и сочный лук внутри не оставят вас равнодушными (6 шт.)",https://example/img.jpg
30000,,Картошка,30001,Картошка фри,310010,200,г,260,312,р,27,41,7,133,2000,Соус,,3,2001,Соус сладкий чили,40,"Хрустящие картошка фри, обжаренная до золотистой корочки. Подается горячей — классика для закуски",https://example/img.jpg
,,,,,,,,,,,,,,,,,,,2002,Соус Цезарь,40,,
,,,,,,,,,,,,,,,,,,,2003,Соус барбекю,40,,
,,,,,,,,,,,,,,,3000,Что-нибудь еще?,,,3001,Лук фри,40,,
,,,,,,,,,,,,,,,,,,,3002,Огурец маринованный,40,,
,,,,,,,,,,,,,,,,,,,3003,Лук маринованный ,40,,
,,,30002,Картошка по-деревенски L,310020,150,г,195,234,р,12,7,41,187,,,,,,,,"Горячие закуски — отличный вариант для сытного перекуса, и картошка по-деревенски L — идеальный выбор! Сочная и хрустящая картошка по-деревенски подарит вам настоящее гастрономическое удовольствие. Попробуйте и оцените вкус настоящей горячей закуски",https://example/img.jpg
,,,30003,Картошка по-деревенски M,310030,100,г,130,156,р,34,18,20,285,,,,,,,,Погрузитесь в атмосферу уюта и тепла с нашей горячей закуской — хрустящая картошка по-деревенски M подарит вам настоящее гастрономическое удовольствие! Золотистая корочка и нежная сердцевина — каждое картофельное донышко просто тает во рту. Идеальный выбор для сытного перекуса!,https://example/img.jpg
,,,30004,Картошка фри XL,310040,200,г,260,312,р,49,21,48,127,,,,,,,,"Горячие закуски — отличный выбор для сытного перекуса, и картошка фри XL не станет исключением! Крупные хрустящие ломтики картошки фри — то, что нужно, чтобы утолить голод и насладиться ярким вкусом. Закажите и убедитесь сами",https://example/img.jpg
,,,30005,Картошка фри L,310050,150,г,195,234,р,10,30,28,140,,,,,,,,Горячая и хрустящая закуска. Картошка фри L подаётся в большом объёме. Имеет золотистый цвет и аппетитный аромат,https://example/img.jpg
,,,30006,Картошка фри М,310060,100,г,130,156,р,22,36,31,141,,,,,,,,"Горячая закуска с хрустящей корочкой и мягким внутренним слоем. Картошка фри подаётся горячей, имеет аппетитный золотистый цвет. Вкус классический, характерный для жареного картофеля",https://example/img.jpg
,,,30007, Картошка по-деревенски XL,310070,200,г,260,312,р,36,19,22,268,,,,,,,,"Погрузитесь в атмосферу уюта с нашей горячей закуской — хрустящая картошка по-деревенски XL подарит вам настоящее гастрономическое удовольствие! Крупные кусочки картошки, обжаренные до золотистой корочки, станут идеальным выбором для сытного перекуса. Попробуйте и ощутите всю простоту и искренность деревенской кухни",https://example/img.jpg
